"instant","dteday","season","yr","mnth","holiday","weekday","temp","atemp","hum","windspeed","casual","registered","cnt","workday","weather","days_since_2011","cnt_2d_bfr"
54,"2011-02-23","WINTER","2011","FEB","N","WED",2.421733,24.354378,42.3043,6.305571,139,1778,1917,"Y","GOOD",53,1107
55,"2011-02-24","WINTER","2011","FEB","N","THU",5.895644,25.832494,69.7391,16.783232,100,1707,1807,"Y","MISTY",54,1450
56,"2011-02-25","WINTER","2011","FEB","N","FRI",9.124356,27.915674,71.2174,23.218113,120,1341,1461,"Y","MISTY",55,1917
57,"2011-02-26","WINTER","2011","FEB","N","SAT",5.2775,25.594528,53.7917,12.500257,424,1545,1969,"N","GOOD",56,1807
58,"2011-02-27","WINTER","2011","FEB","N","SUN",8.143466,27.937706,68,8.391616,694,1708,2402,"N","GOOD",57,1461
59,"2011-02-28","WINTER","2011","FEB","N","MON",11.141831,29.604012,87.6364,19.408962,81,1365,1446,"Y","MISTY",58,1969
60,"2011-03-01","WINTER","2011","MAR","N","TUE",4.533349,24.971886,53.5,14.500475,137,1714,1851,"Y","GOOD",59,2402
61,"2011-03-02","WINTER","2011","MAR","N","WED",7.745,26.882414,44.9583,20.624811,231,1903,2134,"Y","GOOD",60,1446
62,"2011-03-03","WINTER","2011","MAR","N","THU",1.321651,22.804522,31.8333,15.125518,123,1562,1685,"Y","GOOD",61,1851
63,"2011-03-04","WINTER","2011","MAR","N","FRI",4.298349,24.693086,61.0417,13.624182,214,1730,1944,"Y","MISTY",62,2134
64,"2011-03-05","WINTER","2011","MAR","N","SAT",10.055849,28.878486,78.9167,16.875357,640,1437,2077,"N","MISTY",63,1685
65,"2011-03-06","WINTER","2011","MAR","N","SUN",9.696534,28.452568,94.8261,23.000229,114,491,605,"N","MISTY",64,1944
66,"2011-03-07","WINTER","2011","MAR","N","MON",4.301733,24.107674,55.1304,22.870584,244,1628,1872,"Y","GOOD",65,2077
67,"2011-03-08","WINTER","2011","MAR","N","TUE",5.7475,26.2816,42.0833,8.08355,316,1817,2133,"Y","GOOD",66,605
68,"2011-03-09","WINTER","2011","MAR","N","WED",5.904151,25.744672,77.5417,14.75005,191,1700,1891,"Y","MISTY",67,1872
70,"2011-03-11","WINTER","2011","MAR","N","FRI",6.876534,26.37,64.9565,15.60899,247,1730,1977,"Y","MISTY",69,1891
71,"2011-03-12","WINTER","2011","MAR","N","SAT",7.470849,27.0755,59.4583,14.791925,724,1408,2132,"N","GOOD",70,623
72,"2011-03-13","WINTER","2011","MAR","N","SUN",10.064356,28.923094,52.7391,18.130468,982,1435,2417,"N","GOOD",71,1977
73,"2011-03-14","WINTER","2011","MAR","N","MON",7.285199,27.288,49.6957,9.174042,359,1687,2046,"Y","GOOD",72,2132
74,"2011-03-15","WINTER","2011","MAR","N","TUE",6.917377,26.818052,65.5652,12.348703,289,1767,2056,"Y","MISTY",73,2417
75,"2011-03-16","WINTER","2011","MAR","N","WED",9.165199,28.47562,77.6522,13.608839,321,1871,2192,"Y","MISTY",74,2046
76,"2011-03-17","WINTER","2011","MAR","N","THU",11.505,29.951322,60.2917,14.041793,424,2320,2744,"Y","GOOD",75,2056
77,"2011-03-18","WINTER","2011","MAR","N","FRI",17.38,33.918306,52.5217,15.478139,884,2355,3239,"Y","GOOD",76,2192
78,"2011-03-19","WINTER","2011","MAR","N","SAT",14.2075,31.86185,37.9167,24.667189,1424,1693,3117,"N","GOOD",77,2744
79,"2011-03-20","WINTER","2011","MAR","N","SUN",7.6275,27.0755,47.375,13.917307,1047,1424,2471,"N","GOOD",78,3239
80,"2011-03-21","SPRING","2011","MAR","N","MON",12.230445,29.93099,73.7391,19.348461,401,1676,2077,"Y","MISTY",79,3117
81,"2011-03-22","SPRING","2011","MAR","N","TUE",12.758349,30.981828,62.4583,15.12525,460,2243,2703,"Y","GOOD",80,2471
82,"2011-03-23","SPRING","2011","MAR","N","WED",8.306979,27.489926,83.9565,15.695487,203,1918,2121,"Y","MISTY",81,2077
83,"2011-03-24","SPRING","2011","MAR","N","THU",5.395,25.208322,80.5833,16.333729,166,1699,1865,"Y","MISTY",82,2703
84,"2011-03-25","SPRING","2011","MAR","N","FRI",4.415849,24.714608,49.5,15.458575,300,1910,2210,"Y","GOOD",83,2121
85,"2011-03-26","SPRING","2011","MAR","N","SAT",4.494151,24.757414,39.4167,14.041257,981,1515,2496,"N","GOOD",84,1865
86,"2011-03-27","SPRING","2011","MAR","N","SUN",3.893021,24.511526,49.3913,12.3481,472,1221,1693,"N","MISTY",85,2210
87,"2011-03-28","SPRING","2011","MAR","N","MON",4.424356,24.757516,30.2174,14.217668,222,1806,2028,"Y","GOOD",86,2496
88,"2011-03-29","SPRING","2011","MAR","N","TUE",6.2175,25.958872,31.4167,15.208732,317,2108,2425,"Y","GOOD",87,1693
89,"2011-03-30","SPRING","2011","MAR","N","WED",6.1,26.1099,64.6667,11.583496,168,1368,1536,"Y","MISTY",88,2028
90,"2011-03-31","SPRING","2011","MAR","N","THU",4.611651,24.75755,91.8333,14.582282,179,1506,1685,"Y","BAD",89,2425
91,"2011-04-01","SPRING","2011","APR","N","FRI",6.1,25.637436,68.625,17.333436,307,1920,2227,"Y","MISTY",90,1536
92,"2011-04-02","SPRING","2011","APR","N","SAT",6.805,26.731658,65.375,13.208782,898,1354,2252,"N","MISTY",91,1685
93,"2011-04-03","SPRING","2011","APR","N","SUN",9.781651,28.878078,48,12.208271,1651,1598,3249,"N","GOOD",92,2227
94,"2011-04-04","SPRING","2011","APR","N","MON",18.946651,34.459586,42.625,25.833257,734,2381,3115,"Y","GOOD",93,2252
95,"2011-04-05","SPRING","2011","APR","N","TUE",11.465849,29.5439,64.2083,26.000489,167,1628,1795,"Y","MISTY",94,3249
96,"2011-04-06","SPRING","2011","APR","N","WED",10.369151,29.178672,47.0833,17.625221,413,2395,2808,"Y","GOOD",95,3115
97,"2011-04-07","SPRING","2011","APR","N","THU",12.5625,30.745664,60.2917,10.874904,571,2570,3141,"Y","GOOD",96,1795
98,"2011-04-08","SPRING","2011","APR","N","FRI",7.784151,27.032286,83.625,15.208464,172,1299,1471,"Y","MISTY",97,2808
99,"2011-04-09","SPRING","2011","APR","N","SAT",8.0975,27.611986,87.75,8.916561,879,1576,2455,"N","MISTY",98,3141
100,"2011-04-10","SPRING","2011","APR","N","SUN",12.053349,30.509058,85.75,9.833389,1188,1707,2895,"N","MISTY",99,1471
101,"2011-04-11","SPRING","2011","APR","N","MON",19.995644,35.217378,71.6956,21.739758,855,2493,3348,"Y","MISTY",100,2455
102,"2011-04-12","SPRING","2011","APR","N","TUE",15.6175,32.763836,73.9167,18.416893,257,1777,2034,"Y","MISTY",101,2895
103,"2011-04-13","SPRING","2011","APR","N","WED",11.3875,30.187622,81.9167,16.791339,209,1953,2162,"Y","MISTY",102,3348
104,"2011-04-14","SPRING","2011","APR","N","THU",13.9725,31.733228,54.0417,7.4169,529,2738,3267,"Y","GOOD",103,2034
105,"2011-04-15","SPRING","2011","APR","Y","FRI",12.993349,31.025042,67.125,15.167125,642,2484,3126,"N","GOOD",104,2162
106,"2011-04-16","SPRING","2011","APR","N","SAT",12.249151,30.466728,88.8333,22.834136,121,674,795,"N","BAD",105,3267
107,"2011-04-17","SPRING","2011","APR","N","SUN",13.463349,31.153664,47.9583,20.334232,1558,2186,3744,"N","GOOD",106,3126
108,"2011-04-18","SPRING","2011","APR","N","MON",16.0875,33.106964,54.25,10.958989,669,2760,3429,"Y","GOOD",107,795
109,"2011-04-19","SPRING","2011","APR","N","TUE",15.774151,32.634772,66.5833,10.584057,409,2795,3204,"Y","MISTY",108,3744
110,"2011-04-20","SPRING","2011","APR","N","WED",19.965,35.189328,61.4167,16.208975,613,3331,3944,"Y","GOOD",109,3429
111,"2011-04-21","SPRING","2011","APR","N","THU",13.580849,31.432328,40.7083,21.792286,745,3444,4189,"Y","GOOD",110,3204
112,"2011-04-22","SPRING","2011","APR","N","FRI",7.823349,26.946436,72.9583,14.707907,177,1506,1683,"Y","MISTY",111,3944
113,"2011-04-23","SPRING","2011","APR","N","SAT",13.62,31.304114,88.7917,15.458575,1462,2574,4036,"N","MISTY",112,4189
114,"2011-04-24","SPRING","2011","APR","N","SUN",19.338349,34.759942,81.0833,12.875725,1710,2481,4191,"N","MISTY",113,1683
115,"2011-04-25","SPRING","2011","APR","N","MON",20.513349,35.533,77.6667,12.417311,773,3300,4073,"Y","GOOD",114,4036
116,"2011-04-26","SPRING","2011","APR","N","TUE",21.688349,36.198822,72.9167,21.8755,678,3722,4400,"Y","GOOD",115,4191
117,"2011-04-27","SPRING","2011","APR","N","WED",21.14,35.554828,83.5417,20.9174,547,3325,3872,"Y","MISTY",116,4073
118,"2011-04-28","SPRING","2011","APR","N","THU",21.0225,35.683586,70.0833,21.500836,569,3489,4058,"Y","MISTY",117,4400
119,"2011-04-29","SPRING","2011","APR","N","FRI",15.97,32.913742,45.7083,16.084221,878,3717,4595,"Y","GOOD",118,3872
120,"2011-04-30","SPRING","2011","APR","N","SAT",14.2075,31.776714,50.3333,15.750025,1965,3347,5312,"N","GOOD",119,4058
121,"2011-05-01","SPRING","2011","MAY","N","SUN",13.228349,31.238936,76.2083,7.125718,1138,2213,3351,"N","MISTY",120,4595
122,"2011-05-02","SPRING","2011","MAY","N","MON",17.810849,34.116322,73,12.291418,847,3554,4401,"Y","MISTY",121,5312
123,"2011-05-03","SPRING","2011","MAY","N","TUE",20.983349,35.790686,69.7083,22.958689,603,3848,4451,"Y","MISTY",122,3351
124,"2011-05-04","SPRING","2011","MAY","N","WED",11.465849,29.7581,73.7083,22.042732,255,2378,2633,"Y","MISTY",123,4401
125,"2011-05-05","SPRING","2011","MAY","N","THU",13.580849,31.025178,44.4167,19.791264,614,3819,4433,"Y","GOOD",124,4451
126,"2011-05-06","SPRING","2011","MAY","N","FRI",14.520849,32.119978,59,15.292482,894,3714,4608,"Y","GOOD",125,2633
127,"2011-05-07","SPRING","2011","MAY","N","SAT",16.44,33.429114,54.125,10.75015,1612,3102,4714,"N","GOOD",126,4433
128,"2011-05-08","SPRING","2011","MAY","N","SUN",16.831651,33.643722,63.1667,5.0007125,1401,2932,4333,"N","GOOD",127,4608
129,"2011-05-09","SPRING","2011","MAY","N","MON",17.0275,33.858364,58.875,11.792,664,3698,4362,"Y","GOOD",128,4714
130,"2011-05-10","SPRING","2011","MAY","N","TUE",17.0275,33.772514,48.9167,7.749957,694,4109,4803,"Y","GOOD",129,4333
131,"2011-05-11","SPRING","2011","MAY","N","WED",17.4975,33.9656,63.2917,8.083014,550,3632,4182,"Y","GOOD",130,4362
132,"2011-05-12","SPRING","2011","MAY","N","THU",17.145,33.794342,74.75,12.707689,695,4169,4864,"Y","GOOD",131,4803
133,"2011-05-13","SPRING","2011","MAY","N","FRI",16.0875,32.8062,86.3333,12.041575,692,3413,4105,"Y","MISTY",132,4182
134,"2011-05-14","SPRING","2011","MAY","N","SAT",16.479151,33.021386,92.25,9.04165,902,2507,3409,"N","MISTY",133,4864
135,"2011-05-15","SPRING","2011","MAY","N","SUN",18.4375,34.224,86.7083,10.249593,1582,2971,4553,"N","MISTY",134,4105
136,"2011-05-16","SPRING","2011","MAY","N","MON",19.1425,34.717408,78.7917,8.500357,773,3185,3958,"Y","GOOD",135,3409
137,"2011-05-17","SPRING","2011","MAY","N","TUE",18.398349,34.309986,83.7917,18.582718,678,3445,4123,"Y","MISTY",136,4553
138,"2011-05-18","SPRING","2011","MAY","N","WED",17.85,33.923372,87,13.499964,536,3319,3855,"Y","MISTY",137,3958
139,"2011-05-19","SPRING","2011","MAY","N","THU",16.949151,33.365228,82.9583,7.250271,735,3840,4575,"Y","MISTY",138,4123
140,"2011-05-20","SPRING","2011","MAY","N","FRI",17.223349,33.987428,71.9583,8.375871,909,4008,4917,"Y","GOOD",139,3855
141,"2011-05-21","SPRING","2011","MAY","N","SAT",20.3175,35.44715,62.6667,8.08355,2258,3547,5805,"N","GOOD",140,4575
142,"2011-05-22","SPRING","2011","MAY","N","SUN",20.395849,35.533,74.9583,9.916536,1576,3084,4660,"N","GOOD",141,4917
143,"2011-05-23","SPRING","2011","MAY","N","MON",21.688349,36.070064,81,15.667414,836,3438,4274,"Y","MISTY",142,5805
144,"2011-05-24","SPRING","2011","MAY","N","TUE",23.02,36.563642,74.0833,13.875164,659,3833,4492,"Y","MISTY",143,4660
145,"2011-05-25","SPRING","2011","MAY","N","WED",23.059151,36.928428,69.625,10.333611,740,4238,4978,"Y","GOOD",144,4274
146,"2011-05-26","SPRING","2011","MAY","N","THU",25.291651,38.259392,67.75,13.376014,758,3919,4677,"Y","GOOD",145,4492
147,"2011-05-27","SPRING","2011","MAY","N","FRI",24.038349,37.658272,65.375,16.125493,871,3808,4679,"Y","GOOD",146,4978
148,"2011-05-28","SPRING","2011","MAY","N","SAT",22.824151,36.820886,72.9583,15.416164,2001,2757,4758,"N","GOOD",147,4677
149,"2011-05-29","SPRING","2011","MAY","N","SUN",23.3725,36.9287,81.875,14.333846,2355,2433,4788,"N","GOOD",148,4679
150,"2011-05-30","SPRING","2011","MAY","Y","MON",26.466651,38.817128,68.5,8.792075,1549,2549,4098,"N","GOOD",149,4758
151,"2011-05-31","SPRING","2011","MAY","N","TUE",28.425,40.663022,63.6667,7.459043,673,3309,3982,"Y","GOOD",150,4788
152,"2011-06-01","SPRING","2011","JUN","N","WED",27.915849,40.512878,67.7083,13.875164,513,3461,3974,"Y","MISTY",151,4098
153,"2011-06-02","SPRING","2011","JUN","N","THU",25.605,37.894028,30.5,19.583229,736,4232,4968,"Y","GOOD",152,3982
154,"2011-06-03","SPRING","2011","JUN","N","FRI",21.14,35.962522,35.4167,16.959107,898,4414,5312,"Y","GOOD",153,3974
155,"2011-06-04","SPRING","2011","JUN","N","SAT",21.845,36.219664,45.625,8.250514,1869,3473,5342,"N","GOOD",154,4968
156,"2011-06-05","SPRING","2011","JUN","N","SUN",22.471651,36.971336,65.25,9.292364,1685,3221,4906,"N","MISTY",155,5312
157,"2011-06-06","SPRING","2011","JUN","N","MON",23.881651,37.143172,60,8.167032,673,3875,4548,"Y","GOOD",156,5342
158,"2011-06-07","SPRING","2011","JUN","N","TUE",25.2525,38.3023,59.7917,12.583136,763,4070,4833,"Y","GOOD",157,4906
159,"2011-06-08","SPRING","2011","JUN","N","WED",28.464151,40.727486,62.2083,9.166739,676,3725,4401,"Y","GOOD",158,4548
160,"2011-06-09","SPRING","2011","JUN","N","THU",29.991651,41.757686,56.8333,10.042161,563,3352,3915,"Y","MISTY",159,4833
161,"2011-06-10","SPRING","2011","JUN","N","FRI",27.485,39.911928,60.5,9.417118,815,3771,4586,"Y","GOOD",160,4401
162,"2011-06-11","SPRING","2011","JUN","N","SAT",26.075,39.053292,65.4583,10.37495,1729,3237,4966,"N","GOOD",161,3915
163,"2011-06-12","SPRING","2011","JUN","N","SUN",24.5475,37.87305,74.7917,10.958989,1467,2993,4460,"N","GOOD",162,4586
164,"2011-06-13","SPRING","2011","JUN","N","MON",21.845,36.456236,49.4583,20.45845,863,4157,5020,"Y","GOOD",163,4966
165,"2011-06-14","SPRING","2011","JUN","N","TUE",20.395849,36.112564,50.7083,18.041961,727,4164,4891,"Y","GOOD",164,4460
166,"2011-06-15","SPRING","2011","JUN","N","WED",21.453349,35.983636,47.1667,11.250104,769,4411,5180,"Y","GOOD",165,5020
167,"2011-06-16","SPRING","2011","JUN","N","THU",21.531651,36.241764,68.8333,13.833557,545,3222,3767,"Y","MISTY",166,4891
168,"2011-06-17","SPRING","2011","JUN","N","FRI",22.510849,36.413022,73.5833,9.582943,863,3981,4844,"Y","GOOD",167,5180
169,"2011-06-18","SPRING","2011","JUN","N","SAT",24.743349,37.894436,67.0417,8.000336,1807,3312,5119,"N","GOOD",168,3767
170,"2011-06-19","SPRING","2011","JUN","N","SUN",24.860849,37.958764,66.6667,6.834,1639,3105,4744,"N","MISTY",169,4844
171,"2011-06-20","SPRING","2011","JUN","N","MON",21.845,36.241764,74.625,10.416825,699,3311,4010,"Y","MISTY",170,5119
172,"2011-06-21","SUMMER","2011","JUN","N","TUE",23.999151,37.679964,77.0417,11.458675,774,4061,4835,"Y","MISTY",171,4744
173,"2011-06-22","SUMMER","2011","JUN","N","WED",26.466651,39.590186,70.75,11.541554,661,3846,4507,"Y","GOOD",172,4010
174,"2011-06-23","SUMMER","2011","JUN","N","THU",26.231651,39.590322,70.3333,15.999868,746,4044,4790,"Y","MISTY",173,4835
175,"2011-06-24","SUMMER","2011","JUN","N","FRI",26.035849,38.323822,57.3333,14.875675,969,4022,4991,"Y","GOOD",174,4507
176,"2011-06-25","SUMMER","2011","JUN","N","SAT",24.665,37.872642,48.3333,14.041257,1782,3420,5202,"N","GOOD",175,4790
177,"2011-06-26","SUMMER","2011","JUN","N","SUN",23.96,37.679386,51.3333,6.3337311,1920,3385,5305,"N","GOOD",176,4991
178,"2011-06-27","SUMMER","2011","JUN","N","MON",24.0775,37.658136,65.8333,7.208396,854,3854,4708,"Y","MISTY",177,5202
179,"2011-06-28","SUMMER","2011","JUN","N","TUE",26.975849,39.546972,63.4167,9.666961,732,3916,4648,"Y","GOOD",178,5305
180,"2011-06-29","SUMMER","2011","JUN","N","WED",26.231651,38.259392,49.7917,17.542007,848,4377,5225,"Y","GOOD",179,4708
181,"2011-06-30","SUMMER","2011","JUN","N","THU",24.743349,37.658272,43.4167,12.415904,1027,4488,5515,"Y","GOOD",180,4648
182,"2011-07-01","SUMMER","2011","JUL","N","FRI",25.9575,38.173508,39.625,6.874736,1246,4116,5362,"Y","GOOD",181,5225
183,"2011-07-02","SUMMER","2011","JUL","N","SAT",26.701651,38.688472,44.4583,7.709154,2204,2915,5119,"N","GOOD",182,5515
184,"2011-07-03","SUMMER","2011","JUL","N","SUN",25.683349,38.73155,68.25,15.333486,2282,2367,4649,"N","MISTY",183,5362
185,"2011-07-04","SUMMER","2011","JUL","Y","MON",26.153349,38.624178,63.7917,5.4591064,3065,2978,6043,"N","MISTY",184,5119
186,"2011-07-05","SUMMER","2011","JUL","N","TUE",27.093349,39.675492,59.0417,8.459286,1031,3634,4665,"Y","GOOD",185,4649
187,"2011-07-06","SUMMER","2011","JUL","N","WED",25.84,39.311522,74.3333,10.042161,784,3845,4629,"Y","GOOD",186,6043
188,"2011-07-07","SUMMER","2011","JUL","N","THU",27.25,39.353614,65.125,10.6664,754,3838,4592,"Y","GOOD",187,4665
189,"2011-07-08","SUMMER","2011","JUL","N","FRI",25.330849,38.796422,75.7917,15.083643,692,3348,4040,"Y","MISTY",188,4629
190,"2011-07-09","SUMMER","2011","JUL","N","SAT",26.466651,38.581372,60.9167,11.250104,1988,3348,5336,"N","GOOD",189,4592
191,"2011-07-10","SUMMER","2011","JUL","N","SUN",27.1325,39.46085,57.8333,12.292557,1743,3138,4881,"N","GOOD",190,4040
192,"2011-07-11","SUMMER","2011","JUL","N","MON",27.8375,40.813336,63.5833,18.916579,723,3363,4086,"Y","GOOD",191,5336
193,"2011-07-12","SUMMER","2011","JUL","N","TUE",29.325849,41.13535,55.9167,13.417018,662,3596,4258,"Y","GOOD",192,4881
194,"2011-07-13","SUMMER","2011","JUL","N","WED",27.093349,39.439736,63.1667,9.790911,748,3594,4342,"Y","GOOD",193,4086
195,"2011-07-14","SUMMER","2011","JUL","N","THU",23.999151,37.593536,47.625,16.124689,888,4196,5084,"Y","GOOD",194,4258
196,"2011-07-15","SUMMER","2011","JUL","N","FRI",23.176651,37.228614,59.125,12.249811,1318,4220,5538,"Y","GOOD",195,4342
197,"2011-07-16","SUMMER","2011","JUL","N","SAT",24.273349,37.700942,58.5,13.958914,2418,3505,5923,"N","GOOD",196,5084
198,"2011-07-17","SUMMER","2011","JUL","N","SUN",25.800849,38.774322,60.4167,16.417211,2006,3296,5302,"N","GOOD",197,5538
199,"2011-07-18","SUMMER","2011","JUL","N","MON",27.093349,39.93345,65.125,14.458868,841,3617,4458,"Y","GOOD",198,5923
200,"2011-07-19","SUMMER","2011","JUL","N","TUE",28.503349,41.414286,65.0417,8.7502,752,3789,4541,"Y","GOOD",199,5302
201,"2011-07-20","SUMMER","2011","JUL","N","WED",28.111651,41.3929,70.7083,7.625739,644,3688,4332,"Y","GOOD",200,4458
202,"2011-07-21","SUMMER","2011","JUL","N","THU",30.305,44.096614,69.125,14.875407,632,3152,3784,"Y","MISTY",201,4541
203,"2011-07-22","SUMMER","2011","JUL","N","FRI",31.871651,44.590464,58.0417,8.9177,562,2825,3387,"Y","GOOD",202,4332
