;filename;ncharacters;zaehlmarke
23;neural-networks.html;3057;"<img src=""https://vg05.met.vgwort.de/na/7a39ebf2f3b74b4c8d772d4b7559b7e2"" width=""1"" height=""1"" alt="""">"
24;other-interpretable.html;3203;"<img src=""https://vg05.met.vgwort.de/na/d4341616fab8440cabf8a07997b8a1df"" width=""1"" height=""1"" alt="""">"
25;pdp.html;12375;"<img src=""https://vg05.met.vgwort.de/na/ef638bc6e5d344faaf0baa77159945de"" width=""1"" height=""1"" alt="""">"
26;pixel-attribution.html;23485;"<img src=""https://vg05.met.vgwort.de/na/5362afcdc72d4dd1ba94188b818c1e40"" width=""1"" height=""1"" alt="""">"
27;properties.html;7576;"<img src=""https://vg05.met.vgwort.de/na/badb70cb9831456a819500ed1606d4ad"" width=""1"" height=""1"" alt="""">"
28;proto.html;16846;"<img src=""https://vg05.met.vgwort.de/na/e92c1af141864b82ab432777405e25a3"" width=""1"" height=""1"" alt="""">"
29;rulefit.html;15784;"<img src=""https://vg05.met.vgwort.de/na/02f320cc702e4d81b1e4f3ec5ffb2299"" width=""1"" height=""1"" alt="""">"
30;scope-of-interpretability.html;6074;"<img src=""https://vg05.met.vgwort.de/na/28d1568beacd470694b2d84c2eb8ec02"" width=""1"" height=""1"" alt="""">"
31;shap.html;26822;"<img src=""https://vg05.met.vgwort.de/na/9dddafb4311c4cfd960d93dce08802d2"" width=""1"" height=""1"" alt="""">"
32;shapley.html;22387;"<img src=""https://vg05.met.vgwort.de/na/ad3d818d4a70452097277fddce8f5b20"" width=""1"" height=""1"" alt="""">"
33;simple.html;2451;"<img src=""https://vg05.met.vgwort.de/na/65ca0c8d65b046f0a68f677ac706983f"" width=""1"" height=""1"" alt="""">"
34;spam-data.html;2179;"<img src=""https://vg05.met.vgwort.de/na/1aa492432e3a42b0b2e4a6c8470637be"" width=""1"" height=""1"" alt="""">"
35;storytime.html;12260;"<img src=""https://vg05.met.vgwort.de/na/129df5568800440896b0ea7a396180e2"" width=""1"" height=""1"" alt="""">"
36;taxonomy-of-interpretability-methods.html;4560;"<img src=""https://vg05.met.vgwort.de/na/8361a9b446dd4ea0a05f12d5843148bd"" width=""1"" height=""1"" alt="""">"
37;terminology.html;3798;"<img src=""https://vg05.met.vgwort.de/na/7efdf754930342d68175f9f98c62af42"" width=""1"" height=""1"" alt="""">"
38;the-future-of-interpretability.html;6573;"<img src=""https://vg05.met.vgwort.de/na/6c9d38a3d8f24bf08f16722f8c186411"" width=""1"" height=""1"" alt="""">"
39;the-future-of-machine-learning.html;4694;"<img src=""https://vg05.met.vgwort.de/na/917a5b0c9cea426c8cbcf7f91bfb18c7"" width=""1"" height=""1"" alt="""">"
40;tree.html;11176;"<img src=""https://vg05.met.vgwort.de/na/fff9dd743e7d49019ceb1110453d5e43"" width=""1"" height=""1"" alt="""">"
41;what-is-machine-learning.html;4434;"<img src=""https://vg05.met.vgwort.de/na/6f78bbd0cca74f7f96746c7f7f190b88"" width=""1"" height=""1"" alt="""">"
